price,house_type,rooms,bathrooms,condition,furnishing,area,dishwasher,prepaid_meter,dinning_area,air_conditioning,chandelier,state,estate
15.201804919084164,0,3,3,0,1,2,0,1,0,0,0,5,1
15.60727002719233,3,3,3,0,1,3,0,1,1,1,0,5,0
15.201804919084164,0,3,4,0,1,3,0,1,1,0,1,5,0
14.346138809026444,0,3,3,1,0,1,0,1,1,0,1,5,0
14.77102200299171,0,3,4,0,1,3,1,1,1,0,1,5,0
13.997832114758229,1,3,3,1,1,1,0,1,1,1,1,5,0
13.527828485512494,1,3,3,0,1,1,0,1,0,0,0,0,0
13.304684934198283,1,3,2,1,1,1,0,1,1,0,0,0,1
14.508657738524219,0,3,4,0,0,1,0,0,0,0,0,4,0
16.11809565095832,0,3,3,0,0,3,0,0,0,0,0,5,0
12.89921982609012,0,3,3,0,0,1,0,1,1,0,0,1,0
12.89921982609012,0,3,4,0,1,1,0,0,1,0,0,0,0
13.38472764187182,0,3,3,0,0,1,1,1,1,1,1,0,0
13.458835614025542,2,3,4,1,1,1,0,0,0,0,0,0,0
16.012735135300492,0,3,3,1,2,3,0,0,0,0,0,5,0
17.399029496420383,1,3,4,0,0,1,0,0,0,0,0,4,0
12.765688433465597,0,3,3,1,0,1,0,0,0,0,0,1,0
14.73180128983843,1,3,4,1,0,1,0,0,0,0,0,4,0
13.304684934198283,0,3,3,1,0,1,0,0,1,0,0,1,0
13.815510557964274,0,3,4,0,0,1,0,0,0,0,0,4,0
13.304684934198283,0,3,2,1,0,1,0,1,1,0,0,1,0
14.914122846632385,2,3,3,0,1,2,0,0,0,0,0,5,0
16.300417207752275,1,3,4,0,0,3,0,1,1,0,1,5,1
16.11809565095832,1,3,4,1,1,3,0,0,0,0,0,5,0
14.077874822431765,0,3,4,0,1,2,0,0,0,0,0,5,0
