price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,CONDITION,FURNISHING,FACILITIES,SERVICE CHARGE,PROPERTY SIZE,PETS,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,NEW PROPERTY,TOTAL ROOMS,PARKING SPACE,FURNISHED,SMOKING,PARTIES,BROKER FEE,HOUSING QUALITY
"₦ 3,500,000",none,Duplex,4 bedrooms,4 bathrooms,per annum,24 Kings View Estate G.U Ake Eliozu,Kings view estate,Fairly Used,Unfurnished,"Hot Water,Pre Paid Meter,Pop Ceiling,24 Hours Electricity,Balcony,Dishwasher,Tiled Floor,Kitchen Cabinets,Wardrobe,Chandelier,Kitchen Shelf,Dining Area",,,Pets Allowed,,,,,,,,,,,
"₦ 3,500,000",none,Apartment,4 bedrooms,4 bathrooms,per annum,31 Abacha road Gra phase 3,Abacha road Gra phase 3,Newly Built,Unfurnished,"Hot Water,Pop Ceiling,Tiled Floor,Balcony,Pre Paid Meter,Dining Area,Microwave,24 Hours Electricity,Kitchen Cabinets,Kitchen Shelf,Dishwasher,Wardrobe",Yes,,No Pets,350000.0,175000.0,350000.0,,,,,,,,
"₦ 22,000,000","Lagos, Ikoyi",Apartment,4 bedrooms,4 bathrooms,per annum,Banana Island,Ocean Parade,Fairly Used,Unfurnished,"Chandelier,Kitchen Shelf,Kitchen Cabinets,Tiled Floor,Microwave,Apartment,Refrigerator,Pre Paid Meter,Dishwasher,Air Conditioning,Balcony,TV,Wardrobe,Dining Area,Hot Water,Pop Ceiling,24 Hours Electricity",,,,,,,,,,,,,,
"₦ 4,500,000","Lagos, Ajah",Duplex,4 bedrooms,5 bathrooms,per annum,Sangotedo,,Newly Built,Unfurnished,,Yes,,,,,,,,,,,,,
"₦ 4,500,000","Lagos, Lekki, Lekki Phase 1",Duplex,4 bedrooms,5 bathrooms,per annum,4 bedroom duplex in Chevron Lagos with BQ,Chevron Lagos,Newly Built,Semi-Furnished,"Kitchen Shelf,Pre Paid Meter,Refrigerator,Hot Water,Microwave,Pop Ceiling,Balcony,Dishwasher,Kitchen Cabinets,Tiled Floor,Chandelier,Dining Area,Wardrobe",,,,,,,,,,,,,,
"₦ 5,000,000","Lagos, Lekki, Chevron",Duplex,4 bedrooms,4 bathrooms,per annum,Mo 16 schetilina close chevron alternative route chevron,Tulip Haven,Newly Built,Semi-Furnished,"Balcony,Chandelier,Dining Area,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe",,300 sqm,,,,,,,,,,,,
"₦ 900,000","Lagos, Lekki, Ikota",Shared Apartment,4 bedrooms,5 bathrooms,per annum,ikota,ikota villa,Newly Built,Unfurnished,"Dining Area,Hot Water,Kitchen Shelf,Tiled Floor,Wardrobe,Chandelier,Balcony,Kitchen Cabinets,Pop Ceiling,Dishwasher,Pre Paid Meter",,,No Pets,,,,,,,,,,,
"₦ 6,000,000","Lagos, Ogudu, Ogudu GRA",Duplex,4 bedrooms,5 bathrooms,per annum,"Ramat , Ogudu",OGudu GRA,Newly Built,Semi-Furnished,"Balcony,Tiled Floor,Apartment,Dining Area,Hot Water,Kitchen Cabinets,Pre Paid Meter,Pop Ceiling,Wardrobe,Kitchen Shelf",,,,,,,,,,,,,,
"₦ 1,600,000",none,Apartment,4 bedrooms,4 bathrooms,per annum,31 Location Nta road,Location Nta road,Renovated,Unfurnished,"Kitchen Shelf,Pre Paid Meter,Wardrobe,Tiled Floor,Kitchen Cabinets,24 Hours Electricity,Dining Area",,,Pets Allowed,,,,,,,,,,,
"₦ 15,000,000","Lagos, Ikoyi, Old Ikoyi",Block of Flats,4 bedrooms,4 bathrooms,per annum,ikoyi,Temple road ikoyi,Fairly Used,Semi-Furnished,"Wardrobe,Refrigerator,Pre Paid Meter,Tiled Floor,Hot Water,Kitchen Cabinets",Yes,3500 sqm,,,,,,,,,,,,
"₦ 3,500,000","Abuja, Utako",Duplex,4 bedrooms,5 bathrooms,per annum,utako,utako,Fairly Used,Unfurnished,,,,,,,,,,,,,,,
"₦ 2,500,000","Abuja, Lugbe District, FHA",Duplex,4 bedrooms,5 bathrooms,per annum,Federal Housing Estate New site,Private property,Newly Built,Unfurnished,"24 Hours Electricity,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe",Yes,600 sqm,Pets Allowed,250000.0,125000.0,100000.0,,,,,,,,
"₦ 1,000,000","Rivers, Obio-Akpor",Bungalow,4 bedrooms,5 bathrooms,per annum,This property is located at Eliozu,,Fairly Used,Semi-Furnished,"Dining Area,Pop Ceiling,24 Hours Electricity,Wardrobe,Tiled Floor,Hot Water,Pre Paid Meter,Kitchen Shelf,Balcony,Kitchen Cabinets",,,Pets Allowed,,,,,,,,,,,
"₦ 1,700,000","Enugu, Enugu / Enugu State",Townhouse/Terrace,4 bedrooms,4 bathrooms,per annum,nza street independence layout,nza street,Renovated,Unfurnished,"Tiled Floor,Wardrobe,Pre Paid Meter,24 Hours Electricity,Air Conditioning,Apartment,Balcony",Yes,3000 sqm,,170000.0,170000.0,100000.0,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Ikate",Duplex,4 bedrooms,4 bathrooms,per annum,Elegushi,,Newly Built,Semi-Furnished,"Chandelier,Hot Water,Kitchen Cabinets,Air Conditioning,Balcony,Kitchen Shelf,24 Hours Electricity,Pop Ceiling,Pre Paid Meter,Wardrobe,Dining Area,Tiled Floor",,,No Pets,,,,,,,,,,,
"₦ 25,000,000","Lagos, Ikoyi",Penthouse,4 bedrooms,4 bathrooms,per annum,"Ikoyi, Lagos",,Fairly Used,Unfurnished,"Wardrobe,Kitchen Shelf,Kitchen Cabinets,Dining Area,Tiled Floor,Dishwasher,Microwave,Balcony,Air Conditioning,Hot Water,Pop Ceiling",,,,,,,,,,,,,,
"₦ 1,800,000","Enugu, Enugu / Enugu State",Duplex,4 bedrooms,5 bathrooms,per annum,wtc estate,wtc,Newly Built,Semi-Furnished,,,1200 sqm,,,,,,,,,,,,
"₦ 3,000,000",none,Duplex,4 bedrooms,5 bathrooms,per quarter,Eliozu-Eneka Road,,Newly Built,Semi-Furnished,"Balcony,Chandelier,Pre Paid Meter,Kitchen Shelf,Hot Water,Wardrobe,24 Hours Electricity,Pop Ceiling,Dining Area,Kitchen Cabinets,Tiled Floor",Yes,5000 sqm,,300000.0,150000.0,200000.0,,,,,,,,
"₦ 850,000",none,Block of Flats,4 bedrooms,4 bathrooms,per annum,Emmannemeka street Awka,,Newly Built,Unfurnished,"Balcony,Kitchen Cabinets,Wardrobe,Hot Water,Pre Paid Meter,Kitchen Shelf,Dining Area,Wi-Fi,Tiled Floor,24 Hours Electricity",,450 sqm,No Pets,,,,,,,,,,,
"₦ 2,000,000","Rivers, Obio-Akpor",Duplex,4 bedrooms,5 bathrooms,per quarter,This property is within big treat by Rukpokwu,Big treat estate,Newly Built,Semi-Furnished,"24 Hours Electricity,Pop Ceiling,Wardrobe,Tiled Floor,Pre Paid Meter,Balcony,Hot Water,Dining Area,Kitchen Cabinets",,,,,,,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,per annum,genesis estate woji,,Fairly Used,Unfurnished,"Hot Water,24 Hours Electricity,Tiled Floor,Wardrobe,Dining Area,Kitchen Cabinets,Balcony",Yes,,Pets Allowed,,,,,,,,,,,
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,per annum,mercyland off NTA Rd,Francis Estate,Newly Built,Furnished,"Dishwasher,Dining Area,Pre Paid Meter,Air Conditioning,Pop Ceiling,24 Hours Electricity,Kitchen Shelf,Tiled Floor,Wardrobe,Balcony,Kitchen Cabinets,Hot Water",,469 sqm,Pets Allowed,,,,,,,,,,,
"₦ 20,000,000","Lagos, Victoria Island, Kofo Abayomi",Duplex,4 bedrooms,5 bathrooms,per annum,Kofo Abayomi,De Home Vessels,Newly Built,Unfurnished,,,,,,,,,,,,,,,
"₦ 9,000,000","Lagos, Lekki, Lekki Phase 1",Duplex,4 bedrooms,5 bathrooms,per annum,lekki Phase 1 Lagos,Off Admitlraty way,Newly Built,Semi-Furnished,"Dining Area,Pop Ceiling,Pre Paid Meter,Chandelier,Kitchen Cabinets,Microwave,Refrigerator,Dishwasher,Hot Water,Balcony,Wardrobe,Kitchen Shelf,Tiled Floor",,,,,,,,,,,,,,
