price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,FURNISHING,TOTAL ROOMS,PARKING SPACE,PROPERTY SIZE,CONDITION,PETS,FACILITIES,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,SERVICE CHARGE,NEW PROPERTY,BROKER FEE,FURNISHED,SMOKING,PARTIES,HOUSING QUALITY
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,NICE 5 BEDROOM DUPLEX FOR RENT AT CORRIDOR LAYOUT,CORRIDOR LAYOUT,Semi-Furnished,,,600 sqm,Fairly Used,Pets Allowed,"Dining Area,Wardrobe,Pop Ceiling,Balcony,Kitchen Cabinets,Hot Water,Dishwasher,Tiled Floor,24 Hours Electricity,Pre Paid Meter",10,10,5,Yes,,,,,,
"₦ 5,000,000","Lagos, Lekki, Chevron",Duplex,5 bedrooms,5 bathrooms,per annum,Lekki,Bera Estate,Unfurnished,,,,Fairly Used,Pets Allowed,"Hot Water,Tiled Floor,Chandelier,Kitchen Cabinets,Dining Area,Kitchen Shelf,Balcony,Pre Paid Meter,Pop Ceiling,Wardrobe",,,,,,,,,,
"₦ 10,000,000","Lagos, Ikoyi",Duplex,5 bedrooms,5 bathrooms,per annum,ikoyi off banana road,ikoyi off banana road,Semi-Furnished,,,500 sqm,Newly Built,,"Hot Water,Dishwasher,Microwave,Dining Area,Balcony,Kitchen Shelf,Wi-Fi,Pre Paid Meter,Kitchen Cabinets,Tiled Floor,Refrigerator,Apartment,Pop Ceiling,Chandelier,Wardrobe,Air Conditioning",,,,,,,,,,
"₦ 8,000,000","Lagos, Lekki, Ikota",Duplex,5 bedrooms,5 bathrooms,per annum,dandy street,Megamound,Semi-Furnished,,,,Newly Built,Pets Allowed,"Hot Water,Chandelier,Dining Area,Tiled Floor,Dishwasher,Pop Ceiling,Pre Paid Meter,Microwave,Wardrobe,Kitchen Cabinets,Kitchen Shelf,Balcony",,,,,,,,,,
"₦ 7,000,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,Motan street,LadyBird,Semi-Furnished,,,,Newly Built,Pets Allowed,"Pre Paid Meter,Dishwasher,Kitchen Shelf,Microwave,Kitchen Cabinets,Tiled Floor,Wardrobe,Balcony,Chandelier,Dining Area,Hot Water,Pop Ceiling",,,,,,,,,,
"₦ 6,000,000","Lagos, Ikeja, Adeniyi Jones",Duplex,5 bedrooms,5 bathrooms,per annum,A NEWLY BUILT EXECUTIV 5 BEDROOM SEMIDETACHED DUPLEX WITH BQ,ADENIYI JONES,Unfurnished,,,,Newly Built,,"Apartment,Kitchen Cabinets,Chandelier,Hot Water,Dining Area,Balcony,Pre Paid Meter,Wardrobe,24 Hours Electricity,Tiled Floor,Dishwasher,Microwave,Air Conditioning,Kitchen Shelf,Pop Ceiling",,,,,,,,,,
"₦ 3,750,000",none,Duplex,5 bedrooms,5 bathrooms,per annum,Green Land Estate,Greenland Estate,Semi-Furnished,,,465 sqm,Fairly Used,Pets Allowed,"Kitchen Shelf,Tiled Floor,Wardrobe,Pop Ceiling,Balcony,Dining Area,24 Hours Electricity,Hot Water,Chandelier,Kitchen Cabinets",,,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,Zoo estate,,Semi-Furnished,,,,,,,,,,,,,,,,
"₦ 4,000,000","Enugu, Enugu / Enugu State",Condo,5 bedrooms,5 bathrooms,per annum,diamond estate gra,diamond estate,Furnished,,,1000 sqm,Newly Built,,"Wardrobe,Balcony,Pop Ceiling,Kitchen Shelf,Tiled Floor,Chandelier,TV,Apartment,Dining Area,Kitchen Cabinets,Pre Paid Meter,24 Hours Electricity,Hot Water",400000,400000,100000,Yes,,,,,,
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,diamond estate gra,diamond estate,Semi-Furnished,,,2000 sqm,Newly Built,,"Apartment,Hot Water,Kitchen Cabinets,Balcony,24 Hours Electricity,Chandelier,Dining Area,Kitchen Shelf,Pre Paid Meter,Pop Ceiling,TV,Dishwasher,Tiled Floor,Wardrobe",200000,200000,100000,Yes,,,,,,
"₦ 7,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,,5,Yes,,,,,,,,,Yes,Yes,Yes,,,
"₦ 1,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,corridor layout,independence layout by corridor,Semi-Furnished,,,1000 sqm,Newly Built,,"Chandelier,Dining Area,Pop Ceiling,24 Hours Electricity,Tiled Floor,Wardrobe,Pre Paid Meter,Balcony,Hot Water,Kitchen Cabinets",200000,150000,100000,Yes,,,,,,
"₦ 2,300,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per quarter,Golf estate,golf estate,Semi-Furnished,,,900 sqm,Newly Built,Pets Allowed,"Hot Water,Tiled Floor,Chandelier,Kitchen Shelf,Air Conditioning,Dishwasher,Balcony,Pre Paid Meter,Dining Area,Wardrobe,Pop Ceiling,24 Hours Electricity,Kitchen Cabinets",,,,,,,,,,
